22:50:45.122 -> BEGIN,97548,18
22:50:45.122 -> 3,0.78760,0.15784,0.54126,22.58301,7.32422,-13.00049
22:50:45.169 -> 20,0.81445,0.15515,0.55579,17.15088,2.80762,-9.09424
22:50:45.169 -> 37,0.82764,0.17065,0.54395,15.44189,-3.05176,-3.96729
22:50:45.169 -> 54,0.80872,0.15112,0.53906,16.90674,-6.65283,0.54932
22:50:45.216 -> 71,0.80615,0.13916,0.53857,17.70020,-6.10352,4.63867
22:50:45.216 -> 88,0.80334,0.10876,0.53503,15.93018,-4.21143,5.12695
22:50:45.262 -> 105,0.80359,0.11499,0.54919,12.75635,-1.28174,5.92041
22:50:45.262 -> 122,0.80505,0.12256,0.55676,9.03320,1.40381,7.38525
22:50:45.262 -> 139,0.79102,0.08679,0.57434,-0.97656,3.90625,8.11768
22:50:45.309 -> 156,0.82458,0.10657,0.52722,-8.48389,9.27734,8.30078
22:50:45.309 -> 173,0.88953,0.15601,0.50244,7.01904,12.75635,8.54492
22:50:45.309 -> 190,0.84204,0.10120,0.56860,15.86914,8.17871,8.72803
22:50:45.356 -> 207,0.81018,0.06982,0.61499,1.34277,2.44141,12.69531
22:50:45.356 -> 224,0.81799,0.08923,0.56091,-5.06592,-3.11279,10.92529
22:50:45.356 -> 241,0.84509,0.10791,0.50134,5.73730,-2.31934,9.39941
22:50:45.402 -> 258,0.84375,0.06873,0.44861,27.83203,-4.63867,10.07080
22:50:45.402 -> 275,0.76855,0.03857,0.37646,37.53662,-1.22070,13.54980
22:50:45.449 -> 292,0.82361,0.02539,0.55054,40.58838,-6.16455,19.10400
22:50:45.449 -> 309,0.82056,0.05469,0.59961,16.60156,-16.72363,21.97266
22:50:45.449 -> 326,0.77295,0.06262,0.42920,14.34326,-15.44189,24.47510
22:50:45.495 -> 343,0.75659,0.05432,0.47180,18.61572,-9.27734,27.03857
22:50:45.495 -> 360,0.71008,0.08630,0.49878,18.43262,-5.24902,26.30615
22:50:45.495 -> 377,0.60486,0.10327,0.50061,16.96777,-1.52588,17.45605
22:50:45.543 -> 394,0.53137,0.22766,0.54028,14.46533,0.67139,7.87354
22:50:45.543 -> 411,0.43787,0.38403,0.58850,15.93018,-2.25830,3.05176
22:50:45.543 -> 428,0.33630,0.63513,0.55396,34.91211,-2.38037,7.14111
22:50:45.590 -> 445,0.25476,0.77283,0.77795,29.54102,-9.94873,10.43701
22:50:45.590 -> 462,0.23462,0.84021,0.92432,13.67187,-27.58789,1.15967
22:50:45.637 -> 479,0.24207,0.84070,0.93115,5.79834,-28.68652,-13.36670
22:50:45.637 -> 496,0.26404,0.86450,1.00208,4.21143,-15.93018,-25.63477
22:50:45.637 -> 513,0.29932,0.87415,1.15198,-6.22559,-7.44629,-37.90283
22:50:45.681 -> 530,0.32129,0.78528,1.17859,-25.69580,-5.31006,-54.32129
22:50:45.681 -> 547,0.35315,0.67664,1.13660,-39.79492,2.50244,-74.27979
22:50:45.681 -> 564,0.44226,0.59705,1.16492,-51.57471,13.73291,-86.97510
22:50:45.727 -> 581,0.56689,0.51099,1.20801,-62.92725,16.78467,-88.50098
22:50:45.727 -> 598,0.61243,0.40466,1.14612,-73.97461,16.60156,-89.35547
22:50:45.727 -> 615,0.60107,0.26746,1.11426,-78.00293,18.37158,-90.94238
22:50:45.774 -> 632,0.57019,0.16406,1.10413,-82.51953,22.82715,-88.43994
22:50:45.774 -> 649,0.57751,0.15808,1.09705,-87.82959,21.60645,-88.68408
22:50:45.821 -> 666,0.60815,0.03088,1.08545,-90.63721,21.11816,-92.89551
22:50:45.821 -> 683,0.67578,-0.10400,1.02148,-97.35107,25.26855,-100.34180
22:50:45.821 -> 700,0.69238,-0.14612,1.02795,-101.98975,31.92139,-93.87207
22:50:45.867 -> 717,0.62207,-0.15222,1.08679,-104.98047,23.80371,-81.78711
22:50:45.867 -> 734,0.60828,-0.17432,1.05762,-104.67529,7.99561,-71.77734
22:50:45.867 -> 751,0.63770,-0.28735,1.01758,-114.13574,0.24414,-74.40186
22:50:45.915 -> 768,0.63110,-0.41370,0.92761,-123.84033,3.72314,-80.74951
22:50:45.915 -> 785,0.60950,-0.39087,0.87305,-120.91064,9.58252,-79.10156
22:50:45.915 -> 802,0.58813,-0.30042,0.85754,-116.39404,5.49316,-72.26563
22:50:45.962 -> 819,0.62439,-0.39319,0.74329,-111.45020,2.86865,-79.34570
22:50:45.962 -> 836,0.74377,-0.48547,0.75952,-109.92432,7.81250,-79.71191
22:50:46.009 -> 853,0.70947,-0.55151,0.65247,-106.32324,10.55908,-81.11572
22:50:46.009 -> EXIT,51
22:50:47.131 -> BEGIN,99547,19
22:50:47.131 -> 3,0.50061,0.26660,0.64148,78.12500,-28.25928,82.21436
22:50:47.131 -> 20,0.47021,0.16077,0.68262,81.48193,-21.85059,68.84766
22:50:47.178 -> 37,0.46667,0.13867,0.69421,76.47705,-13.85498,52.55127
