3,1.01917,0.37073,-0.26990,-24.96338,-64.75830,21.54541
20,1.01428,0.51013,-0.33093,-5.24902,-79.28467,27.64893
38,1.05225,0.55627,-0.21863,18.61572,-66.34521,28.44238
55,1.04675,0.58276,-0.17798,27.70996,-49.74365,24.16992
72,1.06055,0.70459,-0.30408,38.63525,-20.38574,22.21680
91,1.08606,0.77637,-0.26709,50.10986,5.92041,24.47510
109,0.98450,0.90344,-0.27673,39.24561,0.06104,25.45166
127,0.85107,1.08215,-0.27844,27.83203,0.61035,21.05713
144,0.70569,1.26367,-0.33765,21.24023,2.31934,8.23975
161,0.58997,1.36829,-0.35266,15.99121,6.89697,-15.44189
179,0.52234,1.35059,-0.29480,8.78906,6.10352,-51.45264
196,0.45215,1.31470,-0.28320,-5.98145,-2.07520,-91.79688
214,0.43042,1.21399,-0.22327,-13.61084,-8.78906,-132.87354
231,0.43909,1.01038,-0.17078,-18.18848,-6.46973,-169.37256
248,0.51526,0.77698,-0.17297,-23.74268,-0.79346,-192.44385
265,0.57104,0.61072,-0.23926,-15.56396,4.15039,-191.46729
283,0.62671,0.53723,-0.26855,0.61035,6.46973,-176.94092
300,0.50830,0.40125,-0.26794,14.89258,2.01416,-163.39111
317,0.32556,0.37427,-0.13928,31.79932,15.74707,-169.98291
334,0.14587,-0.02380,-0.18396,37.59766,30.33447,-189.27002
351,0.02625,-0.72156,-0.16235,19.65332,20.99609,-219.90967
369,0.08057,-1.32959,-0.28308,10.74219,-2.44141,-225.46387
386,-0.01379,-1.59802,-0.24988,25.45166,17.15088,-214.96582
403,0.05896,-1.84973,-0.16882,21.24023,28.86963,-227.29492
421,0.21033,-1.98462,-0.24133,-16.90674,1.09863,-244.50684
439,0.47803,-1.89600,-0.16650,-30.82275,-76.72119,-231.62842
EXIT,26
BEGIN,26596,3
3,0.57544,0.70984,-0.40112,0.36621,1.09863,39.61182
21,0.73389,1.11926,-0.53943,-0.61035,22.33887,12.08496
38,0.62280,1.28027,-0.75232,18.06641,35.58350,-10.68115
55,0.54370,1.36121,-0.86365,28.86963,32.83691,-39.48975
73,0.56506,1.43262,-0.84424,29.11377,26.00098,-66.71143
91,0.54883,1.38037,-0.83386,27.58789,9.94873,-101.98975
108,0.57263,1.25256,-0.71924,21.36230,6.16455,-153.68652
126,0.70020,0.96521,-0.56128,5.67627,3.66211,-205.68848
143,0.73730,0.73499,-0.50964,-13.61084,-9.82666,-231.62842
160,0.76062,0.47620,-0.48376,-15.19775,-16.72363,-228.51562
179,0.68237,0.28784,-0.45129,-2.07520,-23.01025,-198.42529
197,0.36902,0.13232,-0.40942,22.27783,-29.05273,-167.60254
215,0.12354,-0.14465,-0.22607,51.81885,-21.91162,-190.49072
232,-0.24475,-0.76318,-0.15894,61.21826,-17.76123,-227.96631
249,-0.28748,-1.27637,0.05359,79.10156,-1.64795,-245.17822
267,-0.19666,-2.13965,0.37671,34.97314,-20.62988,-255.55420
284,-0.03064,-2.31213,0.39893,-50.04883,-93.13965,-269.22607
EXIT,17
BEGIN,27527,4
3,-0.02039,1.25439,-0.59448,0.48828,-33.08105,-34.48486
20,0.05933,1.48560,-0.62817,-1.46484,-44.79980,-74.46289
38,-0.12500,1.30908,-0.77380,12.26807,-58.04443,-118.59131
55,-0.00562,1.16907,-0.68567,4.82178,-41.56494,-166.19873
73,0.09912,0.99805,-0.72009,-6.71387,-39.67285,-207.51953
90,0.28943,0.81848,-0.69800,-1.15967,-36.86523,-235.96191
107,0.40833,0.59192,-0.63696,13.67187,-50.72021,-245.42236
124,0.45837,0.40637,-0.53479,24.16992,-66.34521,-243.10303
141,0.45691,0.26196,-0.41394,24.47510,-79.89502,-245.30029
158,0.43848,0.05432,-0.30823,15.74707,-91.06445,-250.42725
176,0.41919,-0.11475,-0.20630,15.80811,-98.02246,-253.47900
193,0.33032,-0.19714,-0.10657,30.21240,-84.35059,-253.05176
210,0.30688,-0.36267,-0.03467,48.33984,-69.39697,-259.46045
228,0.13489,-0.54651,-0.04150,79.10156,-44.49463,-269.04297
245,0.22156,-1.48022,0.05713,135.49805,9.15527,-275.32959
262,0.50012,-1.96155,0.34509,139.70947,74.70703,-252.56348
279,0.45361,-2.16650,0.21252,52.12402,29.29688,-207.27539
296,0.51562,-2.08374,0.02881,-4.39453,-5.79834,-213.98926
314,0.84424,-2.05884,-0.14783,-2.44141,0.61035,-207.45850
332,1.08533,-2.05554,-0.17261,-12.87842,-9.09424,-151.79443
350,1.25500,-1.85937,-0.00781,-15.19775,-45.95947,-99.54834
368,1.05737,-1.55212,0.01392,-23.68164,-44.25049,-40.46631
385,0.79993,-1.29492,-0.09839,-21.30127,-20.44678,9.70459
403,0.65564,-1.11377,-0.21790,-12.51221,0.12207,43.70117
420,0.61035,-1.00745,-0.25464,0.91553,13.54980,65.73486
438,0.66052,-1.18213,-0.14417,11.65771,12.81738,74.70703
EXIT,26
BEGIN,28482,5
3,0.47449,0.90332,-0.20361,11.96289,11.90186,-8.48389
21,0.59802,1.15601,-0.34680,-0.54932,24.78027,-18.12744
39,0.43225,1.18115,-0.50085,12.51221,21.17920,-36.01074
58,0.41138,1.26184,-0.52722,16.72363,21.42334,-64.69727
77,0.35400,1.10840,-0.48437,23.01025,14.95361,-116.08887
95,0.39197,0.94922,-0.45239,17.51709,10.25391,-148.37646
113,0.43408,0.78662,-0.42493,10.74219,4.27246,-174.80469
132,0.48157,0.56213,-0.38342,4.33350,-2.62451,-197.26562
151,0.57800,0.37109,-0.36121,-4.08936,-9.94873,-207.94678
171,0.67407,0.22925,-0.35400,-24.10889,-43.27393,-203.67432
188,0.55359,0.21301,-0.39368,-16.41846,-70.67871,-194.33594
206,0.31421,0.17664,-0.38196,14.58740,-72.02148,-197.69287
223,0.19250,-0.15918,-0.26208,55.41992,-53.22266,-214.72168
241,0.16821,-0.64062,-0.09546,66.10107,-40.71045,-221.49658
259,0.02515,-1.12329,-0.04602,54.44336,-62.56104,-221.25244
277,-0.24023,-1.27966,0.14429,50.04883,-87.46338,-244.01855
295,-0.42358,-1.79553,0.24329,58.89893,-68.96973,-282.22656
312,-0.01001,-2.07764,0.34106,43.27393,-24.71924,-312.25586
330,0.44653,-2.39636,0.22900,17.88330,-21.60645,-289.79492
347,0.94116,-2.39893,0.24536,-5.67627,-36.43799,-252.62451
EXIT,20
BEGIN,29416,6
3,0.63757,0.97021,-0.39893,12.87842,8.36182,-36.19385
20,0.99731,0.80701,-0.13232,26.00098,-10.74219,-31.31104
37,0.85535,0.55676,-0.14905,18.55469,-14.03809,-35.03418
55,0.82605,0.57678,-0.07056,13.54980,3.47900,-23.49854
73,0.81848,0.67712,-0.10559,8.66699,16.78467,-18.61572
91,0.77075,0.74585,-0.21582,5.00488,19.34814,-23.31543
110,0.75903,0.82520,-0.34033,0.97656,17.70020,-36.01074
128,0.73218,0.89929,-0.43445,1.15967,19.89746,-47.72949
145,0.69141,0.98718,-0.52002,6.65283,19.22607,-64.39209
163,0.66516,1.02148,-0.54626,16.60156,19.47021,-84.65576
181,0.63196,0.98291,-0.53149,26.18408,16.84570,-105.77393
199,0.60425,0.92651,-0.49548,30.27344,7.50732,-136.90186
216,0.60486,0.83472,-0.40710,26.79443,-2.07520,-163.20801
234,0.52380,0.64587,-0.31738,21.42334,-7.62939,-190.18555
252,0.60950,0.45874,-0.30042,13.97705,-9.15527,-212.15820
270,0.69055,0.29102,-0.31128,8.05664,-20.38574,-205.93262
288,0.56702,0.16650,-0.31250,10.68115,-49.49951,-183.71582
305,0.23474,-0.02942,-0.19678,16.54053,-85.87646,-175.35400
323,-0.14941,-0.33606,-0.03271,16.84570,-113.34229,-201.96533
341,-0.28699,-0.81458,0.10327,26.61133,-110.65674,-245.78857
358,-0.27649,-1.34363,0.27417,37.78076,-71.77734,-257.56836
376,-0.30200,-1.91638,0.41040,28.13721,-64.51416,-259.27734
EXIT,22
BEGIN,30359,7
3,0.94092,1.00513,-0.39124,41.68701,-33.81348,102.90527
20,0.93469,1.05847,-0.20618,42.41943,-36.62109,87.58545
37,0.91113,1.04199,-0.08472,31.43311,-42.23633,75.37842
54,0.94275,1.07043,-0.03052,8.72803,-41.38184,54.68750
71,0.91016,0.99268,-0.04565,-3.72314,-33.63037,40.10010
88,0.91431,0.94458,-0.05469,-4.82178,-13.42773,27.16064
105,0.92285,0.82898,-0.02942,2.19727,5.98145,20.81299
122,0.92566,0.74915,0.01990,3.35693,9.94873,11.65771
139,0.92810,0.67505,0.09912,-8.17871,2.44141,-10.19287
157,0.87476,0.74536,0.04089,-32.59277,-1.22070,-31.92139
174,0.89575,0.70166,-0.02014,-36.56006,8.23975,-27.28271
191,0.84180,0.80884,-0.07544,-30.70068,12.20703,-38.14697
208,0.80603,0.87878,-0.10303,-23.74268,19.16504,-52.00195
225,0.73901,0.89746,-0.17749,-13.67187,32.10449,-74.27979
243,0.72998,0.87012,-0.23645,-0.24414,53.64990,-100.03662
260,0.72900,0.77332,-0.25183,9.39941,61.95068,-127.50244
277,0.71729,0.70764,-0.28845,6.83594,52.79541,-155.45654
294,0.74683,0.62427,-0.22998,5.67627,39.48975,-173.95020
311,0.73193,0.48193,-0.24854,5.85937,27.77100,-185.85205
328,0.72729,0.40515,-0.25061,9.52148,30.45654,-179.62646
345,0.68274,0.29944,-0.27319,16.72363,23.19336,-162.41455
362,0.61694,0.17163,-0.22046,14.77051,13.24463,-151.18408
EXIT,22
BEGIN,31417,8
4,0.69519,1.03235,-0.39307,-6.65283,-10.07080,18.92090
20,0.71472,1.14172,-0.32178,-10.49805,-4.69971,-19.77539
38,0.62305,1.11768,-0.35937,-16.05225,-1.58691,-44.12842
56,0.66077,1.02869,-0.38708,-10.25391,7.08008,-77.08740
73,0.70325,0.99072,-0.36023,-4.82178,11.96289,-101.31836
91,0.83362,0.81494,-0.28113,-16.29639,-0.61035,-132.93457
108,0.90356,0.69629,-0.22571,-33.02002,-23.01025,-177.00195
125,0.92163,0.51599,-0.15869,-41.32080,-31.06689,-216.24756
143,1.01526,0.22668,-0.23389,-36.92627,-13.12256,-225.28076
161,1.16467,0.05774,-0.29651,-14.28223,13.48877,-190.79590
178,1.18945,-0.00464,-0.30151,8.54492,3.90625,-136.77979
196,0.97864,-0.00244,-0.27466,13.85498,-27.83203,-100.21973
213,0.70264,0.09521,-0.23889,16.05225,-54.07715,-89.84375
230,0.36414,0.11780,-0.20483,34.05762,-61.15723,-101.25732
247,0.03894,0.02991,-0.16516,56.57959,-52.55127,-129.82178
264,0.04956,-0.42749,0.10840,68.48145,-46.02051,-164.48975
282,-0.11206,-0.78406,0.14758,46.87500,-69.45801,-177.67334
299,-0.39465,-0.82568,0.19214,24.96338,-114.74609,-189.27002
317,-0.69604,-1.11279,0.18384,51.75781,-108.21533,-180.41992
335,-0.65613,-1.52185,0.26025,84.59473,-33.08105,-208.43506
EXIT,20
BEGIN,32319,9
3,0.57300,0.94141,-0.54150,0.30518,-1.83105,21.36230
20,0.83923,1.01025,-0.37610,-13.12256,-5.49316,16.66260
37,0.80579,0.97009,-0.37769,-14.09912,-21.05713,11.84082
54,0.77441,0.96106,-0.34167,-15.07568,-30.45654,0.24414
72,0.78137,0.92676,-0.31824,-8.66699,-26.55029,-10.68115
89,0.79919,0.87000,-0.25537,1.40381,-8.05664,-22.76611
106,0.83826,0.82385,-0.25769,2.07520,8.05664,-31.49414
124,0.86023,0.79309,-0.27417,1.22070,14.28223,-30.09033
141,0.82471,0.78088,-0.28113,-1.28174,9.33838,-32.71484
158,0.80347,0.84448,-0.27368,-7.14111,6.16455,-45.10498
175,0.72192,0.88245,-0.35303,-1.77002,9.94873,-62.07275
193,0.70691,0.85107,-0.40552,18.49365,24.41406,-85.99854
210,0.69495,0.73486,-0.39526,35.52246,32.77588,-115.78369
227,0.72937,0.60278,-0.35205,37.04834,26.42822,-143.79883
244,0.75244,0.48877,-0.33093,30.88379,5.06592,-162.78076
262,0.69775,0.38306,-0.32007,23.98682,-11.53564,-181.64062
279,0.73816,0.32568,-0.44202,23.98682,-13.30566,-184.08203
