22:49:53.744 -> BEGIN,46175,8
22:49:53.744 -> 3,0.53577,-0.02722,0.90063,56.03027,-24.53613,-52.00195
22:49:53.791 -> 20,0.66016,-0.10339,0.99500,37.17041,-9.33838,-54.13818
22:49:53.791 -> 37,0.69751,-0.13281,1.00195,27.34375,10.00977,-54.62646
22:49:53.837 -> 54,0.71191,-0.08350,0.99231,22.70508,28.80859,-50.96436
22:49:53.837 -> 71,0.72681,-0.03528,1.04736,22.09473,36.31592,-47.60742
22:49:53.837 -> 88,0.73328,-0.04285,1.08301,3.78418,40.03906,-42.35840
22:49:53.884 -> 105,0.72522,-0.09180,1.00085,-14.22119,48.76709,-35.94971
22:49:53.884 -> 122,0.70007,-0.12427,0.89331,-24.59717,58.71582,-34.54590
22:49:53.884 -> 139,0.66882,-0.14063,0.81934,-31.79932,65.97900,-34.48486
22:49:53.930 -> 156,0.62500,-0.09827,0.73254,-34.05762,67.07764,-28.19824
22:49:53.930 -> 173,0.61938,-0.10645,0.67615,-29.60205,60.18066,-21.36230
22:49:53.930 -> 190,0.55273,-0.18347,0.58936,-24.84131,54.19922,-20.87402
22:49:53.976 -> 207,0.55896,-0.17322,0.54163,-29.05273,50.29297,-23.01025
22:49:53.976 -> 224,0.56506,-0.19922,0.43323,-20.69092,49.80469,-25.93994
22:49:54.022 -> 241,0.59741,-0.22656,0.37500,2.38037,53.64990,-33.44727
22:49:54.022 -> 258,0.68726,-0.15039,0.48889,18.73779,47.85156,-32.65381
22:49:54.022 -> 275,0.79797,-0.06335,0.58228,18.49365,30.09033,-14.52637
22:49:54.068 -> 292,0.79810,-0.02454,0.60291,6.04248,7.93457,4.39453
22:49:54.068 -> 309,0.77893,-0.06653,0.57153,-5.37109,-1.52588,14.52637
22:49:54.068 -> 326,0.80737,-0.07886,0.55505,-13.12256,1.58691,10.55908
22:49:54.115 -> 343,0.84229,-0.11353,0.57056,-15.25879,12.51221,2.13623
22:49:54.115 -> 360,0.94958,-0.14380,0.56555,-14.89258,19.65332,-2.13623
22:49:54.162 -> 377,1.03540,-0.13281,0.57300,-13.06152,33.50830,-12.20703
22:49:54.162 -> 394,1.13977,-0.12695,0.63660,-17.02881,42.48047,-18.06641
22:49:54.162 -> 411,1.21985,-0.22644,0.66797,-21.85059,46.81396,-18.18848
22:49:54.208 -> 428,1.30933,-0.31677,0.64014,-20.26367,52.36816,-15.13672
22:49:54.208 -> 445,1.39807,-0.37122,0.64294,-20.50781,62.62207,-7.44629
22:49:54.208 -> 462,1.43103,-0.47925,0.62866,-14.40430,71.28906,0.97656
22:49:54.254 -> 479,1.41638,-0.57178,0.62427,-7.14111,78.73535,10.92529
