22:51:28.725 -> BEGIN,141135,30
22:51:28.725 -> 3,0.38037,-0.10876,0.40479,-15.19775,-35.21729,39.79492
22:51:28.725 -> 20,0.36755,-0.21179,0.36279,-18.24951,-32.16553,39.85596
22:51:28.772 -> 37,0.40601,-0.36340,0.42139,-14.46533,-31.18896,34.72900
22:51:28.772 -> 54,0.52380,-0.45850,0.37842,-3.78418,-26.36719,34.42383
22:51:28.772 -> 71,0.55579,-0.40137,0.34656,8.23975,-13.36670,41.74805
22:51:28.818 -> 88,0.64441,-0.39294,0.35291,19.04297,-8.23975,40.95459
22:51:28.818 -> 105,0.73706,-0.46521,0.40833,-3.47900,-7.20215,27.89307
22:51:28.866 -> 122,0.80212,-0.46069,0.49060,-22.21680,-9.94873,26.55029
22:51:28.866 -> 139,0.90857,-0.41528,0.30066,-22.33887,0.00000,37.29248
22:51:28.866 -> 156,0.94580,-0.45166,0.36548,-22.58301,8.60596,41.19873
22:51:28.914 -> 173,1.01208,-0.34302,0.42896,-11.84082,4.57764,46.14258
22:51:28.914 -> 190,1.06519,-0.21753,0.50061,4.02832,-9.39941,55.17578
22:51:28.914 -> 207,1.07153,-0.30481,0.44446,5.12695,-14.83154,53.46680
22:51:28.962 -> 224,1.11743,-0.27258,0.46655,4.51660,-18.06641,48.52295
22:51:28.962 -> 241,1.11768,-0.26624,0.47205,2.44141,-9.21631,50.23193
22:51:28.962 -> 258,1.04272,-0.36011,0.39099,-1.64795,3.60107,42.96875
22:51:29.010 -> 275,0.91150,-0.40894,0.27942,0.85449,19.10400,33.69141
22:51:29.010 -> 292,0.92261,-0.35718,0.36194,6.89697,24.47510,32.10449
22:51:29.010 -> 309,0.90369,-0.49524,0.31702,2.80762,24.23096,27.89307
22:51:29.058 -> 326,0.93579,-0.61255,0.22156,-2.19727,24.04785,21.54541
22:51:29.058 -> 343,0.96533,-0.67749,0.12476,0.67139,29.41895,23.43750
22:51:29.058 -> 360,0.94995,-0.71045,0.11584,5.73730,29.96826,30.63965
22:51:29.105 -> 377,0.89697,-0.76733,0.03687,12.02393,25.45166,36.98730
22:51:29.105 -> 394,0.87952,-0.81250,-0.00452,20.93506,16.41846,36.13281
22:51:29.153 -> 411,0.87634,-0.79651,0.03174,26.85547,7.08008,32.89795
22:51:29.153 -> 428,0.92273,-0.75427,0.03125,44.00635,8.97217,37.84180
22:51:29.153 -> 445,0.89636,-0.72827,0.16113,61.40137,8.66699,44.98291
22:51:29.200 -> 462,0.84631,-0.68774,0.24951,73.73047,6.89697,48.52295
22:51:29.200 -> 479,0.79846,-0.61816,0.27820,80.50537,9.33838,43.88428
22:51:29.200 -> 496,0.80688,-0.54712,0.29883,87.82959,18.37158,38.57422
22:51:29.247 -> 513,0.88733,-0.53271,0.34900,95.03174,26.06201,36.37695
22:51:29.247 -> 530,0.92041,-0.54297,0.38635,104.85840,28.44238,32.40967
22:51:29.247 -> 547,0.98059,-0.51233,0.47217,109.86328,20.93506,34.97314
22:51:29.294 -> 564,1.01282,-0.52026,0.49536,109.61914,12.39014,41.87012
22:51:29.294 -> 581,1.01733,-0.51807,0.46155,111.99951,11.53564,49.07227
22:51:29.342 -> 598,1.00037,-0.52527,0.48669,110.90088,12.39014,52.55127
22:51:29.342 -> 615,0.93445,-0.51880,0.55164,103.57666,9.88770,57.49512
22:51:29.342 -> 632,0.88208,-0.50977,0.48730,104.06494,7.93457,59.99756
22:51:29.390 -> 649,0.82654,-0.50684,0.45569,118.10303,12.87842,58.41064
22:51:29.390 -> 666,0.78577,-0.45471,0.57581,126.15967,13.18359,58.65479
