397,0.89,-0.26,-0.06,122.86,-70.25,6.10
412,0.92,-0.27,0.00,129.33,-73.67,4.52
427,0.94,-0.22,0.10,133.36,-75.68,4.88
442,0.94,-0.15,0.15,127.69,-73.49,8.85
457,0.85,-0.14,0.18,121.52,-74.89,9.70
472,0.84,-0.12,0.19,119.57,-74.95,7.20
487,0.84,-0.14,0.28,119.14,-70.13,-1.16
503,0.84,-0.16,0.33,111.33,-71.96,-9.83
518,0.87,-0.21,0.42,98.45,-85.02,-12.21
534,0.86,-0.25,0.56,88.20,-93.69,-0.92
549,0.85,-0.27,0.66,85.27,-93.99,6.35
564,0.83,-0.31,0.90,78.43,-90.52,16.66
579,0.83,-0.39,1.13,61.89,-82.58,18.07
EXIT,39
BEGIN,23950,4
3,0.83,-0.66,-0.48,-17.03,10.50,-2.50
19,0.96,-0.65,-0.39,-9.16,3.85,-9.28
35,0.90,-0.69,-0.47,3.66,6.59,-15.93
50,0.93,-0.74,-0.51,13.12,15.93,-13.61
65,0.96,-0.77,-0.53,17.70,4.46,-3.17
81,0.99,-0.76,-0.52,21.06,-5.43,8.42
96,0.91,-0.70,-0.51,30.09,-15.01,24.35
111,0.87,-0.63,-0.49,42.05,-17.40,26.73
126,0.86,-0.61,-0.50,49.62,-20.87,26.67
141,0.89,-0.61,-0.52,50.96,-32.47,24.54
156,0.90,-0.57,-0.55,53.28,-39.67,24.96
171,0.88,-0.55,-0.54,60.79,-47.79,24.29
186,0.86,-0.50,-0.51,69.40,-54.50,20.87
201,0.84,-0.48,-0.48,76.60,-54.81,20.87
216,0.82,-0.44,-0.45,80.14,-49.80,19.29
232,0.84,-0.42,-0.41,89.72,-39.12,13.06
247,0.87,-0.38,-0.37,93.14,-37.35,7.08
263,0.85,-0.38,-0.35,97.23,-39.98,4.64
278,0.86,-0.37,-0.32,106.63,-43.40,1.59
293,0.86,-0.37,-0.30,113.28,-44.74,-0.06
309,0.89,-0.35,-0.29,128.42,-39.49,-3.78
324,0.91,-0.35,-0.31,140.99,-34.67,-8.18
339,0.90,-0.38,-0.33,147.46,-33.45,-10.99
355,0.87,-0.39,-0.32,150.02,-41.69,-13.24
371,0.84,-0.38,-0.31,150.88,-45.84,-16.60
386,0.82,-0.39,-0.26,151.79,-49.74,-19.04
401,0.79,-0.38,-0.22,147.03,-55.66,-22.89
417,0.75,-0.36,-0.12,131.35,-69.27,-27.34
433,0.73,-0.31,-0.05,105.53,-91.06,-35.95
448,0.71,-0.31,0.01,78.49,-119.38,-40.71
463,0.68,-0.32,0.25,81.67,-130.86,-41.87
479,0.68,-0.33,0.58,74.95,-138.98,-40.71
494,0.70,-0.36,0.87,65.73,-124.69,-36.25
EXIT,33
BEGIN,24998,5
3,0.68,-0.92,-0.58,7.57,36.01,-5.55
18,0.87,-0.78,-0.62,-0.06,26.67,-3.42
33,0.84,-0.78,-0.63,0.49,14.77,6.04
48,0.84,-0.75,-0.65,3.66,6.84,8.36
63,0.81,-0.71,-0.67,7.14,3.36,10.56
78,0.84,-0.73,-0.63,16.97,-3.72,13.85
93,0.77,-0.59,-0.58,25.76,-13.00,18.07
108,0.79,-0.66,-0.56,33.94,-21.30,14.59
123,0.70,-0.48,-0.56,34.67,-25.76,8.18
138,0.72,-0.54,-0.56,43.58,-23.07,12.21
153,0.81,-0.57,-0.56,53.10,-17.94,4.58
168,0.80,-0.59,-0.63,61.58,-28.56,-3.42
184,0.82,-0.57,-0.61,66.22,-33.57,-5.62
200,0.84,-0.59,-0.57,77.33,-36.62,-5.25
215,0.85,-0.55,-0.56,85.94,-41.87,-3.48
230,0.85,-0.56,-0.52,95.09,-42.54,-0.55
246,0.87,-0.56,-0.46,102.29,-45.23,-5.07
261,0.88,-0.55,-0.46,102.66,-50.23,-11.66
276,0.90,-0.54,-0.46,102.17,-50.66,-12.57
291,0.92,-0.53,-0.43,103.21,-58.90,-9.95
307,0.88,-0.53,-0.40,105.35,-72.57,-2.81
323,0.84,-0.48,-0.32,114.56,-81.36,1.71
338,0.84,-0.46,-0.29,126.04,-88.50,5.00
354,0.83,-0.41,-0.27,132.14,-88.81,5.37
369,0.79,-0.39,-0.22,141.85,-91.00,3.11
384,0.75,-0.34,-0.16,142.40,-102.54,-1.40
399,0.77,-0.34,0.01,140.93,-117.86,-6.23
414,0.75,-0.35,0.11,138.98,-125.00,-0.98
430,0.71,-0.38,0.33,130.55,-135.80,3.23
445,0.68,-0.35,0.62,115.48,-141.66,9.16
461,0.64,-0.36,0.93,95.09,-144.78,5.68
476,0.61,-0.34,1.17,78.55,-130.62,-5.55
492,0.62,-0.45,1.37,75.50,-102.48,-17.27
507,0.66,-0.55,1.48,75.44,-83.50,-21.18
522,0.75,-0.75,1.65,75.44,-53.16,-20.57
EXIT,35
BEGIN,26095,6
3,0.96,-0.60,-0.61,4.70,39.00,-24.90
18,0.99,-0.72,-0.56,15.26,22.40,-19.90
34,0.93,-0.60,-0.55,4.52,-7.02,-15.08
50,0.92,-0.57,-0.54,2.26,-11.29,-2.62
66,0.89,-0.59,-0.54,1.16,-13.06,-1.04
82,0.92,-0.55,-0.57,5.19,-9.58,-4.03
97,0.92,-0.54,-0.54,13.55,-14.53,1.10
112,0.93,-0.51,-0.57,20.39,-28.87,7.51
127,0.89,-0.48,-0.58,24.54,-25.76,17.64
143,0.89,-0.45,-0.57,39.98,-19.53,22.58
158,0.89,-0.47,-0.56,59.33,-17.64,19.10
173,0.84,-0.24,-0.44,74.52,-30.09,11.60
188,0.98,-0.40,-0.55,94.73,-68.60,45.04
203,0.98,-0.41,-0.55,94.85,-75.87,51.64
218,0.93,-0.46,-0.54,107.91,-65.55,52.25
233,0.90,-0.46,-0.41,112.24,-50.05,34.36
248,0.91,-0.38,-0.33,104.55,-43.46,19.71
263,0.92,-0.34,-0.29,99.06,-44.62,15.99
278,0.92,-0.33,-0.29,88.50,-58.29,16.42
294,0.69,-0.43,-0.29,83.01,-71.84,6.10
310,1.07,-0.25,-0.14,97.72,-75.26,-15.81
325,0.84,-0.25,-0.02,93.38,-74.65,6.10
340,0.88,-0.26,0.02,97.35,-84.53,13.37
355,0.89,-0.28,0.06,102.11,-87.59,15.38
370,0.86,-0.27,0.15,104.06,-92.41,19.04
385,0.80,-0.18,0.15,106.20,-96.56,16.54
400,0.77,-0.16,0.24,116.64,-90.33,13.06
415,0.70,-0.12,0.38,120.79,-81.30,10.38
430,0.70,-0.14,0.61,122.19,-46.14,5.55
445,0.76,-0.23,0.75,100.95,-20.45,6.35
460,0.82,-0.25,0.90,68.05,-16.17,12.21
475,0.86,-0.16,1.00,43.76,-20.14,29.91
EXIT,32
BEGIN,27154,7
3,1.01,-0.37,-0.52,0.79,26.31,33.87
18,1.06,-0.14,-0.45,-8.30,19.96,26.37
33,0.95,-0.19,-0.64,13.24,0.37,16.91
48,0.99,-0.20,-0.59,12.82,-2.44,10.80
64,0.93,-0.15,-0.67,12.57,-13.98,4.88
79,0.98,-0.14,-0.56,15.38,-6.35,16.54
95,0.96,-0.19,-0.65,27.34,-19.84,5.55
110,0.93,-0.07,-0.73,27.16,-22.58,4.39
125,0.95,-0.11,-0.65,33.33,-14.47,5.98
140,0.96,-0.11,-0.64,37.05,-21.12,-2.62
156,0.91,-0.07,-0.74,40.77,-20.75,-4.46
171,0.92,-0.08,-0.68,53.83,-4.03,-5.00
186,0.96,-0.09,-0.65,70.86,-1.59,-7.69
201,0.97,-0.09,-0.66,77.88,-3.05,-7.75
217,0.99,-0.10,-0.60,90.09,-8.00,-8.42
232,0.99,-0.11,-0.55,97.29,-13.85,-12.02
247,0.98,-0.14,-0.52,101.81,-25.39,-14.95
262,0.96,-0.11,-0.51,102.91,-34.30,-16.24
277,0.96,-0.11,-0.48,103.64,-35.71,-15.69
293,0.94,-0.11,-0.46,108.03,-41.63,-16.85
308,0.93,-0.10,-0.43,116.27,-42.42,-18.55
324,0.92,-0.13,-0.41,130.74,-40.16,-18.43
339,0.91,-0.15,-0.37,147.95,-32.78,-14.65
