3,-0.06445,0.98901,-0.20227,16.23535,4.76074,-48.09570
21,0.02649,1.00500,-0.03638,17.02881,11.35254,-60.54688
39,0.13794,0.93750,0.04663,14.34326,15.80811,-74.27979
57,0.23389,0.86511,0.10889,4.51660,17.94434,-89.23340
75,0.41016,0.72583,0.21814,-12.93945,20.69092,-102.11182
93,0.62109,0.62317,0.24255,-35.94971,18.31055,-103.14941
110,0.83032,0.59290,0.17834,-49.07227,28.07617,-93.87207
128,1.05493,0.48401,0.08923,-54.56543,52.55127,-70.25146
146,1.30408,0.36865,-0.13721,-72.50977,74.70703,-40.40527
163,1.41394,0.34216,-0.35059,-79.77295,66.40625,0.97656
180,1.37952,0.42493,-0.46484,-73.85254,41.19873,37.90283
197,1.28174,0.44934,-0.62170,-65.12451,7.56836,64.69727
214,1.12036,0.45581,-0.74121,-61.40137,-23.92578,82.70264
231,0.91406,0.51599,-0.83667,-55.41992,-49.56055,95.82520
248,0.64429,0.57715,-0.89575,-39.42871,-57.80029,106.26221
265,0.38013,0.67432,-0.91443,-16.72363,-47.36328,114.13574
282,0.16504,0.76514,-0.88538,4.57764,-38.39111,117.73682
299,-0.04614,0.86316,-0.85510,18.73779,-40.77148,116.63818
317,-0.36023,1.04016,-0.80310,31.86035,-45.95947,107.66602
334,-0.54419,1.15967,-0.75305,41.44287,-52.67334,89.41650
351,-0.68469,1.22766,-0.66870,50.96436,-53.34473,61.27930
369,-0.76111,1.25439,-0.57812,59.75342,-45.34912,27.58789
387,-0.72852,1.26990,-0.44043,65.85693,-26.55029,-12.45117
405,-0.63489,1.20898,-0.31409,72.57080,-3.11279,-51.45264
423,-0.46960,1.10815,-0.19434,76.84326,19.47021,-82.94678
441,-0.27502,1.00452,-0.09070,75.31738,30.51758,-106.44531
458,-0.08911,0.89990,-0.00964,67.13867,25.87891,-125.00000
475,0.09375,0.82104,0.07092,55.72510,14.64844,-139.03809
492,0.29846,0.72009,0.16052,49.62158,5.61523,-150.81787
510,0.55884,0.54761,0.27454,41.50391,7.44629,-164.36768
527,0.87646,0.28931,0.38538,22.09473,19.89746,-172.30225
544,1.18835,0.19885,0.43945,-8.66699,47.11914,-160.94971
561,1.47815,0.13513,0.33826,-32.28760,63.04932,-117.55371
578,1.68469,0.10571,0.25391,-46.63086,84.65576,-52.73438
595,1.72424,0.10425,0.08997,-56.70166,84.89990,1.09863
612,1.57800,0.16565,-0.08411,-81.90918,56.09131,31.67725
629,1.35974,0.28113,-0.32410,-111.45020,3.29590,55.90820
